3639 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3640 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3646 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3648 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3654 [main] INFO  f.d.e.controller.ChartController - Equipment type TestType2/2222 updated.
3657 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3659 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3662 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment1/TestSerial1 inserted.
3667 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3669 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3670 [main] INFO  f.d.e.controller.ChartController - Equipment type file uploaded.
3681 [main] ERROR f.d.e.controller.ChartController - Attempted to change equipment's serial to existing equipment's serial.
3691 [main] INFO  f.d.e.controller.ChartController - Equipment file uploaded.
3695 [main] INFO  f.d.e.controller.ChartController - Equipment type TestType1/1111 inserted.
3708 [main] INFO  f.d.e.controller.ChartController - Equipment type TestType1/1111 inserted.
3714 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment1/TestSerial1 deleted.
3723 [main] INFO  f.d.e.controller.ChartController - Equipment type TestType1/1111 deleted.
3733 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment1/TestSerial1 inserted.
3741 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment2/TestSerial2 updated.
3752 [main] ERROR f.d.e.controller.ChartController - Attempted to delete equipment type with equipment attached to it.
3757 [main] ERROR f.d.e.controller.ChartController - Attempted to change equipment type's typeCode to existing equipment type's typeCode.
3764 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment1/TestSerial1 disabled.
161  [main] INFO  f.d.e.db.DatabaseUtil - Setting DB connection properties...
164  [main] INFO  f.d.e.db.DatabaseUtil - DB connection properties set!
164  [main] INFO  f.d.e.db.DatabaseUtil - Connecting to database...
1159 [main] INFO  f.d.e.db.DatabaseUtil - Connection complete!
2228 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
2232 [main] INFO  f.d.e.controller.ChartController - Equipment file uploaded.
3254 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3255 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3257 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3259 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3259 [main] INFO  f.d.e.controller.ChartController - Equipment type file uploaded.
3568 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3570 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3573 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3575 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3580 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3581 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3584 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3586 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3589 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3590 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3592 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3593 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3595 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3596 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3599 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3600 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3605 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment1/TestSerial1 enabled.
3610 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3612 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3618 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3620 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3625 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3627 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3633 [main] INFO  f.d.e.controller.ChartController - Equipment type TestType2/2222 updated.
3636 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3638 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3641 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment1/TestSerial1 inserted.
3644 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3646 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3647 [main] INFO  f.d.e.controller.ChartController - Equipment type file uploaded.
3656 [main] ERROR f.d.e.controller.ChartController - Attempted to change equipment's serial to existing equipment's serial.
3664 [main] INFO  f.d.e.controller.ChartController - Equipment file uploaded.
3667 [main] INFO  f.d.e.controller.ChartController - Equipment type TestType1/1111 inserted.
3680 [main] INFO  f.d.e.controller.ChartController - Equipment type TestType1/1111 inserted.
3688 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment1/TestSerial1 deleted.
3697 [main] INFO  f.d.e.controller.ChartController - Equipment type TestType1/1111 deleted.
3706 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment1/TestSerial1 inserted.
3714 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment2/TestSerial2 updated.
3723 [main] ERROR f.d.e.controller.ChartController - Attempted to delete equipment type with equipment attached to it.
3728 [main] ERROR f.d.e.controller.ChartController - Attempted to change equipment type's typeCode to existing equipment type's typeCode.
3736 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment1/TestSerial1 disabled.
159  [main] INFO  f.d.e.db.DatabaseUtil - Setting DB connection properties...
162  [main] INFO  f.d.e.db.DatabaseUtil - DB connection properties set!
162  [main] INFO  f.d.e.db.DatabaseUtil - Connecting to database...
1153 [main] INFO  f.d.e.db.DatabaseUtil - Connection complete!
2204 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
2208 [main] INFO  f.d.e.controller.ChartController - Equipment file uploaded.
3215 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3217 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3219 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3220 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3220 [main] INFO  f.d.e.controller.ChartController - Equipment type file uploaded.
3556 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3559 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3562 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3564 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3569 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3572 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3574 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3576 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3579 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3581 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3583 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3586 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3588 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3590 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3595 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3597 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3602 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment1/TestSerial1 enabled.
3606 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3607 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3614 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3616 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3621 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3623 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3628 [main] INFO  f.d.e.controller.ChartController - Equipment type TestType2/2222 updated.
3631 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3633 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3637 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment1/TestSerial1 inserted.
3643 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3646 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3647 [main] INFO  f.d.e.controller.ChartController - Equipment type file uploaded.
3659 [main] ERROR f.d.e.controller.ChartController - Attempted to change equipment's serial to existing equipment's serial.
3668 [main] INFO  f.d.e.controller.ChartController - Equipment file uploaded.
3672 [main] INFO  f.d.e.controller.ChartController - Equipment type TestType1/1111 inserted.
3683 [main] INFO  f.d.e.controller.ChartController - Equipment type TestType1/1111 inserted.
3689 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment1/TestSerial1 deleted.
3697 [main] INFO  f.d.e.controller.ChartController - Equipment type TestType1/1111 deleted.
3706 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment1/TestSerial1 inserted.
3715 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment2/TestSerial2 updated.
3724 [main] ERROR f.d.e.controller.ChartController - Attempted to delete equipment type with equipment attached to it.
3731 [main] ERROR f.d.e.controller.ChartController - Attempted to change equipment type's typeCode to existing equipment type's typeCode.
3739 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment1/TestSerial1 disabled.
162  [main] INFO  f.d.e.db.DatabaseUtil - Setting DB connection properties...
165  [main] INFO  f.d.e.db.DatabaseUtil - DB connection properties set!
165  [main] INFO  f.d.e.db.DatabaseUtil - Connecting to database...
1187 [main] INFO  f.d.e.db.DatabaseUtil - Connection complete!
3131 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3136 [main] INFO  f.d.e.controller.ChartController - Equipment file uploaded.
4579 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
4582 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
4584 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
4585 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
4585 [main] INFO  f.d.e.controller.ChartController - Equipment type file uploaded.
5074 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5077 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5080 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5082 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5091 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5095 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5100 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5103 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5111 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5114 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5117 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5120 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5122 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5125 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5132 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5135 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5147 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment1/TestSerial1 enabled.
5159 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5163 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5179 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5183 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5191 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5194 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5203 [main] INFO  f.d.e.controller.ChartController - Equipment type TestType2/2222 updated.
5209 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5213 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5220 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment1/TestSerial1 inserted.
5231 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5235 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
5236 [main] INFO  f.d.e.controller.ChartController - Equipment type file uploaded.
5260 [main] ERROR f.d.e.controller.ChartController - Attempted to change equipment's serial to existing equipment's serial.
5270 [main] INFO  f.d.e.controller.ChartController - Equipment file uploaded.
5274 [main] INFO  f.d.e.controller.ChartController - Equipment type TestType1/1111 inserted.
5289 [main] INFO  f.d.e.controller.ChartController - Equipment type TestType1/1111 inserted.
5296 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment1/TestSerial1 deleted.
5303 [main] INFO  f.d.e.controller.ChartController - Equipment type TestType1/1111 deleted.
5312 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment1/TestSerial1 inserted.
5323 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment2/TestSerial2 updated.
5331 [main] ERROR f.d.e.controller.ChartController - Attempted to delete equipment type with equipment attached to it.
5337 [main] ERROR f.d.e.controller.ChartController - Attempted to change equipment type's typeCode to existing equipment type's typeCode.
5358 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment1/TestSerial1 disabled.
161  [main] INFO  f.d.e.db.DatabaseUtil - Setting DB connection properties...
164  [main] INFO  f.d.e.db.DatabaseUtil - DB connection properties set!
164  [main] INFO  f.d.e.db.DatabaseUtil - Connecting to database...
1155 [main] INFO  f.d.e.db.DatabaseUtil - Connection complete!
2257 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
2261 [main] INFO  f.d.e.controller.ChartController - Equipment file uploaded.
3285 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3287 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3289 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3290 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3291 [main] INFO  f.d.e.controller.ChartController - Equipment type file uploaded.
3578 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3580 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3582 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3583 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3587 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3588 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3591 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
